Customer ID,Product,Price,Date,Category,Payment Method
CUST4434,Mouse,483.15,09/05/2023,Automotive,Bank Transfer
CUST6046,Headphones,681.74,01/05/2022,Books,PayPal
CUST5197,Gaming Console,1665.82,07/07/2022,Automotive,Debit Card
CUST8621,Smartwatch,81.03,25/12/2022,Books,Cash on Delivery
CUST8744,Keyboard,1746.88,05/01/2023,Groceries,Debit Card
CUST3745,Gaming Console,687.45,30/04/2023,Sports,Debit Card
CUST8554,Smartphone,1354.01,08/11/2022,Books,Credit Card
CUST7982,Smartphone,1297.03,03/07/2022,Toys,Bank Transfer
CUST3276,Smartphone,763.84,26/06/2023,Beauty,PayPal
CUST2942,Tablet,591.35,20/03/2023,Furniture,Bank Transfer
CUST4069,Gaming Console,1086.26,30/07/2023,Groceries,Cash on Delivery
CUST3634,Smartphone,1916.97,22/01/2022,Books,Credit Card
CUST6283,Camera,1089.09,10/12/2022,Furniture,Credit Card
CUST7932,Mouse,1209.19,04/10/2022,Electronics,PayPal
CUST5755,Gaming Console,1511.83,29/08/2022,Beauty,Bank Transfer
CUST8079,Monitor,1416.4,21/06/2023,Fashion,Debit Card
CUST1572,Smartphone,1849.51,19/03/2022,Sports,PayPal
CUST8487,Monitor,292.76,26/02/2022,Sports,PayPal
CUST5260,Mouse,178.26,19/10/2022,Books,PayPal
CUST4952,Monitor,57.83,25/07/2023,Furniture,Bank Transfer
CUST5612,Gaming Console,560.84,06/10/2023,Home Appliances,Cash on Delivery
CUST5879,Gaming Console,1900.66,19/12/2022,Furniture,Credit Card
CUST7252,Smartphone,272.85,27/10/2023,Groceries,PayPal
CUST6627,Headphones,796.93,20/12/2023,Groceries,Bank Transfer
CUST1271,Mouse,719.88,18/02/2022,Electronics,PayPal
CUST5679,Mouse,680.95,30/01/2023,Furniture,Cash on Delivery
CUST5352,Gaming Console,887.03,19/03/2022,Beauty,Bank Transfer
CUST6148,Smartphone,443.26,20/11/2023,Electronics,Bank Transfer
CUST4438,Gaming Console,1258.92,23/02/2023,Furniture,Bank Transfer
CUST2196,Keyboard,120.77,23/11/2023,Fashion,Credit Card
CUST8697,Gaming Console,1610.27,16/04/2022,Toys,Debit Card
CUST3964,Headphones,1438.33,19/08/2022,Furniture,Bank Transfer
CUST9553,Keyboard,1519.47,09/12/2023,Sports,Cash on Delivery
